# CIBxCMB lensing power spectra
# Lensing potential phi is used (not kappa)
# Columns are ell and Cl (not l^3*Cl)
# Units are Jy
Cl,ell
-inf,0
-0.01298582151944321,1
0.0011466268591944716,2
0.0034723087272428336,3
0.003366356075974711,4
0.0025721100987260766,5
0.001695929721655122,6
0.0009900446126705328,7
0.0005272790447249734,8
0.0002780048861676053,9
0.00016906608402883453,10
0.00012886492505331126,11
0.0001116026468079707,12
0.0001001896200219267,13
9.554540325902809e-05,14
0.00010288506317151876,15
0.00012267880464368662,16
0.00014862737459039576,17
0.00017079326696931433,18
0.00018049092911122912,19
0.00017408516050027066,20
0.00015416635952862807,21
0.00012788223370773394,22
0.00010338288138256725,23
8.622506776634593e-05,24
7.763561220650835e-05,25
7.53857824402659e-05,26
7.627670997364415e-05,27
7.824574368828121e-05,28
8.07427255942225e-05,29
8.368134171016152e-05,30
8.638487957448e-05,31
8.758483817104184e-05,32
8.627726111495851e-05,33
8.244611328487566e-05,34
7.698454432114117e-05,35
7.10183369880142e-05,36
6.529518684576524e-05,37
6.004164714150803e-05,38
5.5182006326962955e-05,39
5.060326162091553e-05,40
4.628794684158979e-05,41
4.232536260193411e-05,42
3.886174824069654e-05,43
3.602308378472162e-05,44
3.384289236703635e-05,45
3.223916653248852e-05,46
3.1057398043019516e-05,47
3.015054498375061e-05,48
2.9451316397996758e-05,49
2.900072115930765e-05,50
2.8899226038580603e-05,51
2.9169689930189536e-05,52
2.9605645250244723e-05,53
2.976236876775292e-05,54
2.9191140561317765e-05,55
2.7797305036111907e-05,56
2.601977819326883e-05,57
2.4615138260296492e-05,58
2.4156648671526602e-05,59
2.4625755571089567e-05,60
2.5414162892024004e-05,61
2.5724366294882694e-05,62
2.5063093803367567e-05,63
2.3499652463159682e-05,64
2.1569284347436035e-05,65
1.9932731128144797e-05,66
1.9010122277526537e-05,67
1.8784415635639856e-05,68
1.8869172485218716e-05,69
1.8795151719447602e-05,70
1.8338422475215767e-05,71
1.7674063289572182e-05,72
1.7248954748096586e-05,73
1.746381687814168e-05,74
1.8387813841825368e-05,75
1.9693941495378898e-05,76
2.0837561763075572e-05,77
2.134064739707893e-05,78
2.100070074815127e-05,79
1.9922750930649585e-05,80
1.8400166689758195e-05,81
1.675538717948072e-05,82
1.5244592526696341e-05,83
1.4046593868716807e-05,84
1.3272276439933593e-05,85
1.2929167294934266e-05,86
1.2862375144859736e-05,87
1.277271033894793e-05,88
1.2376176189295277e-05,89
1.162426829729728e-05,90
1.0796359147940244e-05,91
1.034245539093819e-05,92
1.0564692611380642e-05,93
1.1384355496908617e-05,94
1.2383876286255828e-05,95
1.3083448257635403e-05,96
1.3223559067254188e-05,97
1.2847101160416823e-05,98
1.2167910566102576e-05,99
1.1382989308117038e-05,100
1.0587859143245613e-05,101
9.82125391159796e-06,102
9.14562795249199e-06,103
8.666457251363007e-06,104
8.477610727736284e-06,105
8.592176164732102e-06,106
8.918816102416518e-06,107
9.296456124014261e-06,108
9.560568184798917e-06,109
9.60662938288376e-06,110
9.425671275494884e-06,111
9.096754501316448e-06,112
8.73592915214256e-06,113
8.427044229478423e-06,114
8.180075569540034e-06,115
7.949200950134194e-06,116
7.694475096759817e-06,117
7.428916648547864e-06,118
7.203926268502373e-06,119
7.047907095466192e-06,120
6.926058378969377e-06,121
6.773718797009807e-06,122
6.5785576962076805e-06,123
6.4246819552163275e-06,124
6.435341919445453e-06,125
6.6482485446124125e-06,126
6.936252242542464e-06,127
7.062216460241625e-06,128
6.842152604526923e-06,129
6.288459178883399e-06,130
5.613358061502236e-06,131
5.0879658576897215e-06,132
4.871073862370736e-06,133
4.937661080975598e-06,134
5.142091266330259e-06,135
5.338393895486296e-06,136
5.452000508811055e-06,137
5.4671421437194205e-06,138
5.380961796676505e-06,139
5.191768399072455e-06,140
4.92893455472485e-06,141
4.670822598022534e-06,142
4.505701979934947e-06,143
4.458792623436215e-06,144
4.458280828170738e-06,145
4.3851486403730875e-06,146
4.171020785669875e-06,147
3.858193189951297e-06,148
3.569229607035706e-06,149
3.4166577734874982e-06,150
3.4330885994082072e-06,151
3.5725193010483352e-06,152
3.761148605186734e-06,153
3.9372882870960255e-06,154
4.049652036060384e-06,155
4.040867115558303e-06,156
