# Binned CIBxCMB lensing power spectra
# Lensing potential phi is used (not kappa)
# Units are Jy
b,b3Cb,b3dCb,db
42.0,3.3141393518123996,1.962551144316329,32.0
105.5,11.01179665258019,1.893405336074883,31.5
169.0,13.533450659205064,1.1303411448947454,32.0
233.0,15.146934333878184,0.9421732612024695,32.0
296.5,14.806920804532876,2.315436142190301,31.5
360.0,14.730840861783053,1.536962180573688,32.0
424.0,12.853538039543647,1.2163641540704553,32.0
487.5,11.644903703786857,1.552342955406289,31.5
551.0,11.689433838088155,1.235110845002846,32.0
615.0,10.705566419816499,1.6228787492279415,32.0
678.5,9.941281915819129,1.597834641899333,31.5
742.0,9.11209749027799,1.038827419657654,32.0
806.0,8.130856135302649,1.7004677595810278,32.0
869.5,8.428777557309298,1.6249789898101552,31.5
933.0,8.065806873425995,2.195319595008258,32.0
996.5,7.3975868783529295,1.355857270477447,31.5
1060.0,7.081085515217732,2.132394994963239,32.0
1124.0,5.79876683937515,1.79086052875695,32.0
1187.5,6.511567649011194,1.5096127016435426,31.5
1251.0,7.211278140023783,1.3332151932168308,32.0
1315.0,8.044235601693991,2.8158373789088627,32.0
1378.5,6.421701371639579,1.9800782184666397,31.5
1442.0,5.027666241383422,2.3145018968938595,32.0
1506.0,6.924059843683426,2.5463246873483483,32.0
1569.5,5.115692111904403,1.5601946368417228,31.5
1633.0,5.043440484893344,3.393793621399002,32.0
1697.0,6.878909602713353,1.7100848737236356,32.0
1760.5,5.5919646469585995,2.928312597517251,31.5
1824.0,4.21596288542489,2.1494993507805997,32.0
1888.0,4.902445693308052,3.7365881453646566,32.0
1951.5,5.566048452948097,2.7181392193967997,31.5
2015.0,6.629325448224226,3.4758113068293124,32.0
