# Effective beam window function
# The map is already deconvolved by the pixel window,
# so the window function here is the only correction needed.
Bl,ell
1.0,0
1.0,1
1.0,2
1.0,3
1.0,4
1.0,5
1.0,6
1.0,7
1.0,8
1.0,9
1.0,10
1.0,11
1.0,12
1.0,13
1.0,14
1.0,15
1.0,16
1.0,17
1.0,18
1.0,19
1.0,20
1.0,21
1.0,22
1.0,23
1.0,24
1.0,25
1.0,26
1.0,27
1.0,28
1.0,29
1.0,30
1.0,31
1.0,32
1.0,33
1.0,34
1.0,35
1.0,36
0.9999997,37
0.99997246,38
0.9999521,39
0.9999294,40
0.9998991,41
0.99987024,42
0.9998469,43
0.99982417,44
0.9997975,45
0.9997703,46
0.9997463,47
0.9997206,48
0.9996933,49
0.99966556,50
0.9996424,51
0.9996189,52
0.9995927,53
0.99956405,54
0.99953663,55
0.999513,56
0.99948674,57
0.9994587,58
0.9994314,59
0.99940515,60
0.9993781,61
0.99934864,62
0.99931836,63
0.99928916,64
0.9992601,65
0.99923104,66
0.9992016,67
0.9991747,68
0.9991459,69
0.9991169,70
0.999086,71
0.99905485,72
0.9990258,73
0.9989958,74
0.99896544,75
0.99893415,76
0.99890375,77
0.9988728,78
0.998841,79
0.99880856,80
0.99877524,81
0.9987419,82
0.99870694,83
0.99867356,84
0.9986394,85
0.99860495,86
0.9985695,87
0.9985344,88
0.9984984,89
0.9984622,90
0.99842477,91
0.998387,92
0.99834853,93
0.9983109,94
0.9982723,95
0.9982327,96
0.99819314,97
0.99815387,98
0.99811476,99
0.99807507,100
0.9980353,101
0.99799454,102
0.99795395,103
0.9979136,104
0.99787366,105
0.99783236,106
0.9977915,107
0.9977506,108
0.9977099,109
0.9976678,110
0.9976254,111
0.9975824,112
0.9975395,113
0.9974969,114
0.9974535,115
0.9974105,116
0.9973665,117
0.9973222,118
0.9972771,119
0.9972318,120
0.9971866,121
0.9971404,122
0.99709386,123
0.9970463,124
0.9969983,125
0.9969502,126
0.99690247,127
0.9968547,128
0.99680746,129
0.99675894,130
0.9967102,131
0.99666023,132
0.9966101,133
0.9965596,134
0.99650854,135
0.9964557,136
0.9964026,137
0.9963519,138
0.9963,139
0.9962474,140
0.99619216,141
0.99613667,142
0.99608046,143
0.99602515,144
0.9959692,145
0.9959128,146
0.9958574,147
0.9958009,148
0.99574333,149
0.99568677,150
0.9956293,151
0.9955713,152
0.99551225,153
0.9954536,154
0.9953953,155
0.9953353,156
0.995276,157
0.9952147,158
0.995155,159
0.99509484,160
0.99503464,161
0.99497294,162
0.9949118,163
0.9948502,164
0.9947883,165
0.99472564,166
0.99466246,167
0.9945985,168
0.99453455,169
0.99446845,170
0.99440193,171
0.9943351,172
0.99427015,173
0.99420416,174
0.9941381,175
0.99407023,176
0.9940031,177
0.9939354,178
0.9938664,179
0.99379647,180
0.9937265,181
0.99365664,182
0.99358577,183
0.993514,184
0.99344337,185
0.99337274,186
0.9933034,187
0.9932343,188
0.9931615,189
0.99308926,190
0.99301594,191
0.9929432,192
0.99287057,193
0.9927972,194
0.9927225,195
0.9926468,196
0.99257165,197
0.99249595,198
0.9924201,199
0.9923445,200
0.9922683,201
0.9921921,202
0.99211574,203
0.99203897,204
0.9919617,205
0.99188405,206
0.99180734,207
0.9917303,208
0.991652,209
0.99157304,210
0.99149305,211
0.991412,212
0.9913314,213
0.991251,214
0.99116987,215
0.99108785,216
0.9910053,217
0.99092233,218
0.9908381,219
0.99075335,220
0.9906687,221
0.99058545,222
0.9905002,223
0.99041206,224
0.99032587,225
0.99023825,226
0.9901524,227
0.99006563,228
0.98997843,229
0.9898899,230
0.989802,231
0.98971283,232
0.98962456,233
0.9895362,234
0.98944926,235
0.98936117,236
0.9892723,237
0.9891812,238
0.98908937,239
0.9889981,240
0.98890495,241
0.98881257,242
0.98871976,243
0.988625,244
0.98853153,245
0.98843825,246
0.9883448,247
0.9882512,248
0.98815584,249
0.98806125,250
0.98796654,251
0.9878706,252
0.98777515,253
0.987678,254
0.9875818,255
0.9874854,256
0.98738813,257
0.9872899,258
0.9871922,259
0.98709524,260
0.9869965,261
0.98689705,262
0.9867981,263
0.98669857,264
0.9865989,265
0.98649806,266
0.98639625,267
0.98629457,268
0.9861922,269
0.9860907,270
0.985989,271
0.985887,272
0.98578286,273
0.9856787,274
0.9855752,275
0.985471,276
0.9853668,277
0.98526233,278
0.9851561,279
0.98504907,280
0.98494446,281
0.98483825,282
0.98473376,283
0.98462605,284
0.98451906,285
0.9844097,286
0.9843024,287
0.98419374,288
0.9840844,289
0.9839742,290
0.9838642,291
0.9837537,292
0.98364216,293
0.9835301,294
0.9834188,295
0.98330605,296
0.9831942,297
0.9830816,298
0.9829691,299
0.9828559,300
0.98274314,301
0.9826287,302
0.9825153,303
0.9824004,304
0.98228604,305
0.9821722,306
0.98205715,307
0.981943,308
0.9818289,309
0.9817118,310
0.9815948,311
0.98147744,312
0.98136055,313
0.9812412,314
0.9811221,315
0.9810024,316
0.98088396,317
0.9807659,318
0.98064643,319
0.98052627,320
0.9804064,321
0.9802852,322
0.9801648,323
0.9800441,324
0.9799226,325
0.97980076,326
0.97967875,327
0.9795552,328
0.9794334,329
0.97931063,330
0.9791865,331
0.9790611,332
0.9789355,333
0.9788081,334
0.9786823,335
0.97855616,336
0.97843015,337
0.9783016,338
0.978174,339
0.97804683,340
0.9779186,341
0.97778994,342
0.97766066,343
0.97753125,344
0.97740126,345
0.9772729,346
0.97714275,347
0.9770114,348
0.9768805,349
0.9767484,350
0.976617,351
0.976484,352
0.9763513,353
0.97621953,354
0.97608846,355
0.97595704,356
0.9758248,357
0.9756905,358
0.9755555,359
0.97541875,360
0.975284,361
0.9751477,362
0.9750122,363
0.9748758,364
0.97473985,365
0.97460514,366
0.9744685,367
0.9743321,368
0.9741928,369
0.974056,370
0.9739181,371
0.9737782,372
0.973639,373
0.9734989,374
0.9733576,375
0.9732179,376
0.9730772,377
0.9729359,378
0.97279596,379
0.97265244,380
0.97251034,381
0.9723685,382
0.97222626,383
0.9720829,384
0.9719397,385
0.97179544,386
0.9716526,387
0.9715073,388
0.9713647,389
0.9712196,390
0.9710739,391
0.97092724,392
0.9707807,393
0.97063494,394
0.97048795,395
0.970343,396
0.9701946,397
0.97004735,398
0.9699004,399
0.96975213,400
0.96960396,401
0.9694572,402
0.9693085,403
0.9691616,404
0.96901214,405
0.96886075,406
0.96870923,407
0.9685578,408
0.9684075,409
0.9682573,410
0.9681073,411
0.9679557,412
0.9678051,413
0.96765244,414
0.9674992,415
0.9673477,416
0.96719396,417
0.96704185,418
0.96688867,419
0.96673644,420
0.966581,421
0.9664245,422
0.96627057,423
0.9661152,424
0.9659595,425
0.9658035,426
0.9656466,427
0.96548873,428
0.9653296,429
0.96517056,430
0.96501154,431
0.9648518,432
0.9646928,433
0.9645313,434
0.9643689,435
0.9642058,436
0.9640458,437
0.9638815,438
0.9637203,439
0.96355575,440
0.96339256,441
0.96322715,442
0.96306473,443
0.9629014,444
0.9627371,445
0.96257335,446
0.9624076,447
0.96224296,448
0.9620795,449
0.9619136,450
0.9617492,451
0.9615829,452
0.9614179,453
0.961254,454
0.961089,455
0.96092254,456
0.960757,457
0.9605932,458
0.9604254,459
0.9602581,460
0.9600901,461
0.9599207,462
0.95975125,463
0.95958126,464
0.9594131,465
0.9592431,466
0.95907205,467
0.9589018,468
0.95873016,469
0.9585549,470
0.9583811,471
0.9582089,472
0.9580353,473
0.95785874,474
0.95768136,475
0.9575034,476
0.95732486,477
0.95714724,478
0.95697254,479
0.956796,480
0.9566183,481
0.9564408,482
0.95626086,483
0.9560806,484
0.95590115,485
0.95572096,486
0.95554197,487
0.9553625,488
0.95518345,489
0.95500344,490
0.9548252,491
0.95464396,492
0.9544645,493
0.95428425,494
0.95410323,495
0.95392203,496
0.953741,497
0.95356023,498
0.95338017,499
0.9531985,500
0.95301735,501
0.9528346,502
0.952656,503
0.9524747,504
0.95228916,505
0.9521042,506
0.9519197,507
0.9517332,508
0.9515484,509
0.95136464,510
0.95118123,511
0.9509951,512
0.9508113,513
0.9506272,514
0.95044225,515
0.9502546,516
0.9500696,517
0.9498843,518
0.9496951,519
