# Lensing power spectrum, taken from the Planck PR2
# We extrapolated the multipoles 0-7 because they are set to zero
# in the original release
Cl,ell
1.3345e-07,0.0000e+00
1.3345e-07,1.0000e+00
1.2838e-08,2.0000e+00
3.2636e-09,3.0000e+00
1.2350e-09,4.0000e+00
5.8121e-10,5.0000e+00
3.1396e-10,6.0000e+00
1.8653e-10,7.0000e+00
1.1881e-10,8.0000e+00
7.9812e-11,9.0000e+00
5.5676e-11,1.0000e+01
4.0067e-11,1.1000e+01
2.9583e-11,1.2000e+01
2.2322e-11,1.3000e+01
1.7163e-11,1.4000e+01
1.3413e-11,1.5000e+01
1.0632e-11,1.6000e+01
8.5354e-12,1.7000e+01
6.9292e-12,1.8000e+01
5.6827e-12,1.9000e+01
4.7021e-12,2.0000e+01
3.9231e-12,2.1000e+01
3.2977e-12,2.2000e+01
2.7912e-12,2.3000e+01
2.3773e-12,2.4000e+01
2.0365e-12,2.5000e+01
1.7540e-12,2.6000e+01
1.5183e-12,2.7000e+01
1.3204e-12,2.8000e+01
1.1532e-12,2.9000e+01
1.0112e-12,3.0000e+01
8.9006e-13,3.1000e+01
7.8618e-13,3.2000e+01
6.9680e-13,3.3000e+01
6.1953e-13,3.4000e+01
5.5245e-13,3.5000e+01
4.9406e-13,3.6000e+01
4.4301e-13,3.7000e+01
3.9822e-13,3.8000e+01
3.5885e-13,3.9000e+01
3.2411e-13,4.0000e+01
2.9336e-13,4.1000e+01
2.6609e-13,4.2000e+01
2.4184e-13,4.3000e+01
2.2021e-13,4.4000e+01
2.0088e-13,4.5000e+01
1.8355e-13,4.6000e+01
1.6802e-13,4.7000e+01
1.5404e-13,4.8000e+01
1.4144e-13,4.9000e+01
1.3007e-13,5.0000e+01
1.1978e-13,5.1000e+01
1.1047e-13,5.2000e+01
1.0201e-13,5.3000e+01
9.4309e-14,5.4000e+01
8.7309e-14,5.5000e+01
8.0920e-14,5.6000e+01
7.5090e-14,5.7000e+01
6.9753e-14,5.8000e+01
6.4864e-14,5.9000e+01
6.0385e-14,6.0000e+01
5.6271e-14,6.1000e+01
5.2487e-14,6.2000e+01
4.9003e-14,6.3000e+01
4.5794e-14,6.4000e+01
4.2832e-14,6.5000e+01
4.0098e-14,6.6000e+01
3.7571e-14,6.7000e+01
3.5231e-14,6.8000e+01
3.3063e-14,6.9000e+01
3.1054e-14,7.0000e+01
2.9189e-14,7.1000e+01
2.7457e-14,7.2000e+01
2.5846e-14,7.3000e+01
2.4347e-14,7.4000e+01
2.2949e-14,7.5000e+01
2.1648e-14,7.6000e+01
2.0432e-14,7.7000e+01
1.9296e-14,7.8000e+01
1.8237e-14,7.9000e+01
1.7244e-14,8.0000e+01
1.6316e-14,8.1000e+01
1.5446e-14,8.2000e+01
1.4631e-14,8.3000e+01
1.3867e-14,8.4000e+01
1.3149e-14,8.5000e+01
1.2477e-14,8.6000e+01
1.1843e-14,8.7000e+01
1.1248e-14,8.8000e+01
1.0688e-14,8.9000e+01
1.0162e-14,9.0000e+01
9.6654e-15,9.1000e+01
9.1975e-15,9.2000e+01
8.7560e-15,9.3000e+01
8.3400e-15,9.4000e+01
7.9470e-15,9.5000e+01
7.5756e-15,9.6000e+01
7.2251e-15,9.7000e+01
6.8934e-15,9.8000e+01
6.5794e-15,9.9000e+01
6.2826e-15,1.0000e+02
6.0013e-15,1.0100e+02
5.7347e-15,1.0200e+02
5.4823e-15,1.0300e+02
5.2429e-15,1.0400e+02
5.0157e-15,1.0500e+02
4.8002e-15,1.0600e+02
4.5954e-15,1.0700e+02
4.4010e-15,1.0800e+02
4.2162e-15,1.0900e+02
4.0406e-15,1.1000e+02
3.8735e-15,1.1100e+02
3.7146e-15,1.1200e+02
3.5634e-15,1.1300e+02
3.4194e-15,1.1400e+02
3.2822e-15,1.1500e+02
3.1515e-15,1.1600e+02
3.0269e-15,1.1700e+02
2.9081e-15,1.1800e+02
2.7948e-15,1.1900e+02
2.6866e-15,1.2000e+02
2.5834e-15,1.2100e+02
2.4849e-15,1.2200e+02
2.3907e-15,1.2300e+02
2.3008e-15,1.2400e+02
2.2148e-15,1.2500e+02
2.1326e-15,1.2600e+02
2.0540e-15,1.2700e+02
1.9788e-15,1.2800e+02
1.9068e-15,1.2900e+02
1.8379e-15,1.3000e+02
1.7719e-15,1.3100e+02
1.7088e-15,1.3200e+02
1.6482e-15,1.3300e+02
1.5902e-15,1.3400e+02
1.5346e-15,1.3500e+02
1.4813e-15,1.3600e+02
1.4301e-15,1.3700e+02
1.3811e-15,1.3800e+02
1.3340e-15,1.3900e+02
1.2888e-15,1.4000e+02
1.2454e-15,1.4100e+02
1.2037e-15,1.4200e+02
1.1636e-15,1.4300e+02
1.1251e-15,1.4400e+02
1.0882e-15,1.4500e+02
1.0526e-15,1.4600e+02
1.0184e-15,1.4700e+02
9.8552e-16,1.4800e+02
9.5388e-16,1.4900e+02
9.2343e-16,1.5000e+02
8.9414e-16,1.5100e+02
8.6592e-16,1.5200e+02
8.3876e-16,1.5300e+02
8.1259e-16,1.5400e+02
7.8739e-16,1.5500e+02
7.6311e-16,1.5600e+02
7.3970e-16,1.5700e+02
7.1714e-16,1.5800e+02
6.9539e-16,1.5900e+02
6.7441e-16,1.6000e+02
6.5419e-16,1.6100e+02
6.3467e-16,1.6200e+02
6.1583e-16,1.6300e+02
5.9767e-16,1.6400e+02
5.8012e-16,1.6500e+02
5.6318e-16,1.6600e+02
5.4683e-16,1.6700e+02
5.3103e-16,1.6800e+02
5.1577e-16,1.6900e+02
5.0103e-16,1.7000e+02
4.8678e-16,1.7100e+02
4.7301e-16,1.7200e+02
4.5970e-16,1.7300e+02
4.4683e-16,1.7400e+02
4.3438e-16,1.7500e+02
4.2235e-16,1.7600e+02
4.1070e-16,1.7700e+02
3.9943e-16,1.7800e+02
3.8853e-16,1.7900e+02
3.7798e-16,1.8000e+02
3.6777e-16,1.8100e+02
3.5788e-16,1.8200e+02
3.4831e-16,1.8300e+02
3.3903e-16,1.8400e+02
3.3005e-16,1.8500e+02
3.2135e-16,1.8600e+02
3.1292e-16,1.8700e+02
3.0475e-16,1.8800e+02
2.9683e-16,1.8900e+02
2.8915e-16,1.9000e+02
2.8171e-16,1.9100e+02
2.7449e-16,1.9200e+02
2.6750e-16,1.9300e+02
2.6071e-16,1.9400e+02
2.5412e-16,1.9500e+02
2.4773e-16,1.9600e+02
2.4153e-16,1.9700e+02
2.3552e-16,1.9800e+02
2.2968e-16,1.9900e+02
2.2400e-16,2.0000e+02
2.1850e-16,2.0100e+02
2.1315e-16,2.0200e+02
2.0796e-16,2.0300e+02
2.0292e-16,2.0400e+02
1.9802e-16,2.0500e+02
1.9326e-16,2.0600e+02
1.8864e-16,2.0700e+02
1.8415e-16,2.0800e+02
1.7978e-16,2.0900e+02
1.7553e-16,2.1000e+02
1.7141e-16,2.1100e+02
1.6739e-16,2.1200e+02
1.6349e-16,2.1300e+02
1.5969e-16,2.1400e+02
1.5601e-16,2.1500e+02
1.5242e-16,2.1600e+02
1.4892e-16,2.1700e+02
1.4552e-16,2.1800e+02
1.4222e-16,2.1900e+02
1.3900e-16,2.2000e+02
1.3587e-16,2.2100e+02
1.3282e-16,2.2200e+02
1.2985e-16,2.2300e+02
1.2696e-16,2.2400e+02
1.2415e-16,2.2500e+02
1.2140e-16,2.2600e+02
1.1874e-16,2.2700e+02
1.1614e-16,2.2800e+02
1.1360e-16,2.2900e+02
1.1114e-16,2.3000e+02
1.0873e-16,2.3100e+02
1.0639e-16,2.3200e+02
1.0411e-16,2.3300e+02
1.0188e-16,2.3400e+02
9.9712e-17,2.3500e+02
9.7596e-17,2.3600e+02
9.5536e-17,2.3700e+02
9.3525e-17,2.3800e+02
9.1564e-17,2.3900e+02
8.9652e-17,2.4000e+02
8.7787e-17,2.4100e+02
8.5968e-17,2.4200e+02
8.4194e-17,2.4300e+02
8.2461e-17,2.4400e+02
8.0773e-17,2.4500e+02
7.9123e-17,2.4600e+02
7.7514e-17,2.4700e+02
7.5944e-17,2.4800e+02
7.4411e-17,2.4900e+02
7.2914e-17,2.5000e+02
7.1454e-17,2.5100e+02
7.0027e-17,2.5200e+02
6.8633e-17,2.5300e+02
6.7272e-17,2.5400e+02
6.5943e-17,2.5500e+02
6.4645e-17,2.5600e+02
6.3378e-17,2.5700e+02
6.2140e-17,2.5800e+02
6.0930e-17,2.5900e+02
5.9747e-17,2.6000e+02
5.8591e-17,2.6100e+02
5.7463e-17,2.6200e+02
5.6359e-17,2.6300e+02
5.5281e-17,2.6400e+02
5.4228e-17,2.6500e+02
5.3196e-17,2.6600e+02
5.2190e-17,2.6700e+02
5.1205e-17,2.6800e+02
5.0242e-17,2.6900e+02
4.9300e-17,2.7000e+02
4.8380e-17,2.7100e+02
4.7479e-17,2.7200e+02
4.6598e-17,2.7300e+02
4.5737e-17,2.7400e+02
4.4894e-17,2.7500e+02
4.4069e-17,2.7600e+02
4.3262e-17,2.7700e+02
4.2474e-17,2.7800e+02
4.1702e-17,2.7900e+02
