# Lensing power spectrum, taken from the Planck PR2
# We extrapolated the multipoles 0-7 because they are set to zero
# in the original release
Cl,Nl,ell
6.5473e-08,2.2357e-07,0.0000e+00
6.5473e-08,2.2357e-07,1.0000e+00
8.7069e-08,2.2080e-07,2.0000e+00
1.0287e-07,2.1920e-07,3.0000e+00
1.1579e-07,2.1807e-07,4.0000e+00
1.2692e-07,2.1719e-07,5.0000e+00
1.3680e-07,2.1648e-07,6.0000e+00
1.4575e-07,2.1588e-07,7.0000e+00
1.5398e-07,2.1536e-07,8.0000e+00
1.6162e-07,2.1491e-07,9.0000e+00
1.6842e-07,2.1462e-07,1.0000e+01
1.7453e-07,2.1442e-07,1.1000e+01
1.7998e-07,2.1430e-07,1.2000e+01
1.8485e-07,2.1423e-07,1.3000e+01
1.8922e-07,2.1422e-07,1.4000e+01
1.9315e-07,2.1423e-07,1.5000e+01
1.9665e-07,2.1427e-07,1.6000e+01
1.9981e-07,2.1433e-07,1.7000e+01
2.0262e-07,2.1442e-07,1.8000e+01
2.0515e-07,2.1451e-07,1.9000e+01
2.0736e-07,2.1463e-07,2.0000e+01
2.0934e-07,2.1476e-07,2.1000e+01
2.1108e-07,2.1490e-07,2.2000e+01
2.1262e-07,2.1507e-07,2.3000e+01
2.1396e-07,2.1523e-07,2.4000e+01
2.1510e-07,2.1542e-07,2.5000e+01
2.1609e-07,2.1561e-07,2.6000e+01
2.1694e-07,2.1581e-07,2.7000e+01
2.1765e-07,2.1602e-07,2.8000e+01
2.1822e-07,2.1625e-07,2.9000e+01
2.1865e-07,2.1647e-07,3.0000e+01
2.1897e-07,2.1672e-07,3.1000e+01
2.1917e-07,2.1697e-07,3.2000e+01
2.1930e-07,2.1723e-07,3.3000e+01
2.1933e-07,2.1750e-07,3.4000e+01
2.1927e-07,2.1778e-07,3.5000e+01
2.1914e-07,2.1807e-07,3.6000e+01
2.1894e-07,2.1837e-07,3.7000e+01
2.1865e-07,2.1867e-07,3.8000e+01
2.1832e-07,2.1885e-07,3.9000e+01
2.1793e-07,2.1903e-07,4.0000e+01
2.1748e-07,2.1923e-07,4.1000e+01
2.1697e-07,2.1944e-07,4.2000e+01
2.1642e-07,2.1965e-07,4.3000e+01
2.1583e-07,2.1987e-07,4.4000e+01
2.1518e-07,2.2011e-07,4.5000e+01
2.1449e-07,2.2035e-07,4.6000e+01
2.1379e-07,2.2060e-07,4.7000e+01
2.1303e-07,2.2087e-07,4.8000e+01
2.1225e-07,2.2114e-07,4.9000e+01
2.1144e-07,2.2142e-07,5.0000e+01
2.1061e-07,2.2172e-07,5.1000e+01
2.0976e-07,2.2203e-07,5.2000e+01
2.0888e-07,2.2235e-07,5.3000e+01
2.0797e-07,2.2268e-07,5.4000e+01
2.0706e-07,2.2302e-07,5.5000e+01
2.0612e-07,2.2337e-07,5.6000e+01
2.0518e-07,2.2374e-07,5.7000e+01
2.0420e-07,2.2411e-07,5.8000e+01
2.0321e-07,2.2450e-07,5.9000e+01
2.0222e-07,2.2489e-07,6.0000e+01
2.0122e-07,2.2530e-07,6.1000e+01
2.0020e-07,2.2572e-07,6.2000e+01
1.9916e-07,2.2615e-07,6.3000e+01
1.9812e-07,2.2659e-07,6.4000e+01
1.9707e-07,2.2703e-07,6.5000e+01
1.9602e-07,2.2749e-07,6.6000e+01
1.9497e-07,2.2795e-07,6.7000e+01
1.9390e-07,2.2855e-07,6.8000e+01
1.9283e-07,2.2916e-07,6.9000e+01
1.9176e-07,2.2977e-07,7.0000e+01
1.9069e-07,2.3039e-07,7.1000e+01
1.8963e-07,2.3101e-07,7.2000e+01
1.8856e-07,2.3165e-07,7.3000e+01
1.8749e-07,2.3229e-07,7.4000e+01
1.8641e-07,2.3293e-07,7.5000e+01
1.8534e-07,2.3359e-07,7.6000e+01
1.8425e-07,2.3425e-07,7.7000e+01
1.8317e-07,2.3491e-07,7.8000e+01
1.8210e-07,2.3559e-07,7.9000e+01
1.8102e-07,2.3627e-07,8.0000e+01
1.7995e-07,2.3696e-07,8.1000e+01
1.7887e-07,2.3766e-07,8.2000e+01
1.7780e-07,2.3836e-07,8.3000e+01
1.7673e-07,2.3908e-07,8.4000e+01
1.7566e-07,2.3981e-07,8.5000e+01
1.7461e-07,2.4054e-07,8.6000e+01
1.7354e-07,2.4129e-07,8.7000e+01
1.7249e-07,2.4205e-07,8.8000e+01
1.7144e-07,2.4282e-07,8.9000e+01
1.7040e-07,2.4360e-07,9.0000e+01
1.6936e-07,2.4439e-07,9.1000e+01
1.6833e-07,2.4520e-07,9.2000e+01
1.6729e-07,2.4603e-07,9.3000e+01
1.6627e-07,2.4686e-07,9.4000e+01
1.6525e-07,2.4771e-07,9.5000e+01
1.6423e-07,2.4858e-07,9.6000e+01
1.6322e-07,2.4946e-07,9.7000e+01
1.6222e-07,2.5036e-07,9.8000e+01
1.6121e-07,2.5127e-07,9.9000e+01
1.6022e-07,2.5220e-07,1.0000e+02
1.5923e-07,2.5314e-07,1.0100e+02
1.5824e-07,2.5409e-07,1.0200e+02
1.5727e-07,2.5506e-07,1.0300e+02
1.5630e-07,2.5603e-07,1.0400e+02
1.5533e-07,2.5703e-07,1.0500e+02
1.5437e-07,2.5803e-07,1.0600e+02
1.5342e-07,2.5904e-07,1.0700e+02
1.5247e-07,2.6007e-07,1.0800e+02
1.5153e-07,2.6111e-07,1.0900e+02
1.5060e-07,2.6215e-07,1.1000e+02
1.4967e-07,2.6321e-07,1.1100e+02
1.4875e-07,2.6429e-07,1.1200e+02
1.4783e-07,2.6537e-07,1.1300e+02
1.4692e-07,2.6646e-07,1.1400e+02
1.4602e-07,2.6757e-07,1.1500e+02
1.4513e-07,2.6869e-07,1.1600e+02
1.4424e-07,2.6982e-07,1.1700e+02
1.4335e-07,2.7097e-07,1.1800e+02
1.4248e-07,2.7214e-07,1.1900e+02
1.4161e-07,2.7331e-07,1.2000e+02
1.4074e-07,2.7451e-07,1.2100e+02
1.3989e-07,2.7572e-07,1.2200e+02
1.3903e-07,2.7694e-07,1.2300e+02
1.3819e-07,2.7818e-07,1.2400e+02
1.3735e-07,2.7944e-07,1.2500e+02
1.3652e-07,2.8071e-07,1.2600e+02
1.3569e-07,2.8200e-07,1.2700e+02
1.3488e-07,2.8330e-07,1.2800e+02
1.3406e-07,2.8461e-07,1.2900e+02
1.3326e-07,2.8594e-07,1.3000e+02
1.3246e-07,2.8728e-07,1.3100e+02
1.3167e-07,2.8864e-07,1.3200e+02
1.3088e-07,2.9000e-07,1.3300e+02
1.3010e-07,2.9137e-07,1.3400e+02
1.2933e-07,2.9275e-07,1.3500e+02
1.2856e-07,2.9415e-07,1.3600e+02
1.2780e-07,2.9555e-07,1.3700e+02
1.2704e-07,2.9696e-07,1.3800e+02
1.2629e-07,2.9837e-07,1.3900e+02
1.2555e-07,2.9980e-07,1.4000e+02
1.2481e-07,3.0123e-07,1.4100e+02
1.2408e-07,3.0268e-07,1.4200e+02
1.2335e-07,3.0413e-07,1.4300e+02
1.2263e-07,3.0560e-07,1.4400e+02
1.2192e-07,3.0708e-07,1.4500e+02
1.2121e-07,3.0857e-07,1.4600e+02
1.2051e-07,3.1007e-07,1.4700e+02
1.1981e-07,3.1159e-07,1.4800e+02
1.1912e-07,3.1313e-07,1.4900e+02
1.1843e-07,3.1468e-07,1.5000e+02
1.1776e-07,3.1625e-07,1.5100e+02
1.1708e-07,3.1784e-07,1.5200e+02
1.1641e-07,3.1944e-07,1.5300e+02
1.1575e-07,3.2107e-07,1.5400e+02
1.1509e-07,3.2271e-07,1.5500e+02
1.1444e-07,3.2438e-07,1.5600e+02
1.1379e-07,3.2606e-07,1.5700e+02
1.1315e-07,3.2777e-07,1.5800e+02
1.1251e-07,3.2949e-07,1.5900e+02
1.1188e-07,3.3123e-07,1.6000e+02
1.1126e-07,3.3298e-07,1.6100e+02
1.1063e-07,3.3476e-07,1.6200e+02
1.1002e-07,3.3655e-07,1.6300e+02
1.0941e-07,3.3835e-07,1.6400e+02
1.0880e-07,3.4018e-07,1.6500e+02
1.0820e-07,3.4201e-07,1.6600e+02
1.0761e-07,3.4386e-07,1.6700e+02
1.0702e-07,3.4572e-07,1.6800e+02
1.0643e-07,3.4759e-07,1.6900e+02
1.0585e-07,3.4948e-07,1.7000e+02
1.0527e-07,3.5137e-07,1.7100e+02
1.0470e-07,3.5328e-07,1.7200e+02
1.0414e-07,3.5520e-07,1.7300e+02
1.0358e-07,3.5714e-07,1.7400e+02
1.0302e-07,3.5908e-07,1.7500e+02
1.0247e-07,3.6103e-07,1.7600e+02
1.0192e-07,3.6300e-07,1.7700e+02
1.0137e-07,3.6497e-07,1.7800e+02
1.0084e-07,3.6696e-07,1.7900e+02
1.0030e-07,3.6896e-07,1.8000e+02
9.9774e-08,3.7097e-07,1.8100e+02
9.9248e-08,3.7299e-07,1.8200e+02
9.8728e-08,3.7502e-07,1.8300e+02
9.8211e-08,3.7705e-07,1.8400e+02
9.7699e-08,3.7910e-07,1.8500e+02
9.7191e-08,3.8116e-07,1.8600e+02
9.6687e-08,3.8323e-07,1.8700e+02
9.6188e-08,3.8531e-07,1.8800e+02
9.5693e-08,3.8739e-07,1.8900e+02
9.5201e-08,3.8949e-07,1.9000e+02
9.4714e-08,3.9159e-07,1.9100e+02
9.4231e-08,3.9371e-07,1.9200e+02
9.3751e-08,3.9583e-07,1.9300e+02
9.3275e-08,3.9796e-07,1.9400e+02
9.2804e-08,4.0010e-07,1.9500e+02
